Using TensorFlow backend.
2018-02-01 18:25:19.097888: I C:\tf_jenkins\home\workspace\rel-win\M\windows\PY\36\tensorflow\core\platform\cpu_feature_guard.cc:137] Your CPU supports instructions that this TensorFlow binary was not compiled to use: AVX
Train on 50000 samples, validate on 10000 samples
Epoch 1/50

27968/50000 [===============>..............] - ETA: 4s - loss: 0.6911
28288/50000 [===============>..............] - ETA: 4s - loss: 0.6910
28608/50000 [================>.............] - ETA: 4s - loss: 0.6909
28928/50000 [================>.............] - ETA: 4s - loss: 0.6908
29248/50000 [================>.............] - ETA: 4s - loss: 0.6908
29568/50000 [================>.............] - ETA: 4s - loss: 0.6907
29888/50000 [================>.............] - ETA: 4s - loss: 0.6906
30208/50000 [=================>............] - ETA: 4s - loss: 0.6906
30528/50000 [=================>............] - ETA: 3s - loss: 0.6905
30848/50000 [=================>............] - ETA: 3s - loss: 0.6904
31168/50000 [=================>............] - ETA: 3s - loss: 0.6903
31488/50000 [=================>............] - ETA: 3s - loss: 0.6902
31808/50000 [==================>...........] - ETA: 3s - loss: 0.6901
32128/50000 [==================>...........] - ETA: 3s - loss: 0.6900
32448/50000 [==================>...........] - ETA: 3s - loss: 0.6899
32768/50000 [==================>...........] - ETA: 3s - loss: 0.6898
33088/50000 [==================>...........] - ETA: 3s - loss: 0.6898
33408/50000 [===================>..........] - ETA: 3s - loss: 0.6897
33728/50000 [===================>..........] - ETA: 3s - loss: 0.6896
34048/50000 [===================>..........] - ETA: 3s - loss: 0.6895
34368/50000 [===================>..........] - ETA: 3s - loss: 0.6894
34688/50000 [===================>..........] - ETA: 3s - loss: 0.6893
35008/50000 [====================>.........] - ETA: 3s - loss: 0.6892
35328/50000 [====================>.........] - ETA: 2s - loss: 0.6891
35648/50000 [====================>.........] - ETA: 2s - loss: 0.6890
35968/50000 [====================>.........] - ETA: 2s - loss: 0.6889
36288/50000 [====================>.........] - ETA: 2s - loss: 0.6888
36608/50000 [====================>.........] - ETA: 2s - loss: 0.6887
36928/50000 [=====================>........] - ETA: 2s - loss: 0.6886
37248/50000 [=====================>........] - ETA: 2s - loss: 0.6886
37568/50000 [=====================>........] - ETA: 2s - loss: 0.6885
37888/50000 [=====================>........] - ETA: 2s - loss: 0.6884
38208/50000 [=====================>........] - ETA: 2s - loss: 0.6883
38528/50000 [======================>.......] - ETA: 2s - loss: 0.6882
38848/50000 [======================>.......] - ETA: 2s - loss: 0.6881
39168/50000 [======================>.......] - ETA: 2s - loss: 0.6880
39424/50000 [======================>.......] - ETA: 2s - loss: 0.6879
39744/50000 [======================>.......] - ETA: 2s - loss: 0.6878
40064/50000 [=======================>......] - ETA: 1s - loss: 0.6877
40384/50000 [=======================>......] - ETA: 1s - loss: 0.6876
40704/50000 [=======================>......] - ETA: 1s - loss: 0.6876
41024/50000 [=======================>......] - ETA: 1s - loss: 0.6875
41344/50000 [=======================>......] - ETA: 1s - loss: 0.6874
41664/50000 [=======================>......] - ETA: 1s - loss: 0.6873
41984/50000 [========================>.....] - ETA: 1s - loss: 0.6872
42304/50000 [========================>.....] - ETA: 1s - loss: 0.6871
42624/50000 [========================>.....] - ETA: 1s - loss: 0.6870
42944/50000 [========================>.....] - ETA: 1s - loss: 0.6869
43264/50000 [========================>.....] - ETA: 1s - loss: 0.6868
43584/50000 [=========================>....] - ETA: 1s - loss: 0.6867
43904/50000 [=========================>....] - ETA: 1s - loss: 0.6866
44224/50000 [=========================>....] - ETA: 1s - loss: 0.6866
44544/50000 [=========================>....] - ETA: 1s - loss: 0.6865
44864/50000 [=========================>....] - ETA: 1s - loss: 0.6863
45184/50000 [==========================>...] - ETA: 0s - loss: 0.6862
45504/50000 [==========================>...] - ETA: 0s - loss: 0.6862
45824/50000 [==========================>...] - ETA: 0s - loss: 0.6861
46144/50000 [==========================>...] - ETA: 0s - loss: 0.6860
46464/50000 [==========================>...] - ETA: 0s - loss: 0.6859
46784/50000 [===========================>..] - ETA: 0s - loss: 0.6858
47104/50000 [===========================>..] - ETA: 0s - loss: 0.6857
47424/50000 [===========================>..] - ETA: 0s - loss: 0.6856
47744/50000 [===========================>..] - ETA: 0s - loss: 0.6855
48064/50000 [===========================>..] - ETA: 0s - loss: 0.6854
48384/50000 [============================>.] - ETA: 0s - loss: 0.6853
48704/50000 [============================>.] - ETA: 0s - loss: 0.6853
49024/50000 [============================>.] - ETA: 0s - loss: 0.6852
49344/50000 [============================>.] - ETA: 0s - loss: 0.6851
49664/50000 [============================>.] - ETA: 0s - loss: 0.6850
49984/50000 [============================>.] - ETA: 0s - loss: 0.6849
50000/50000 [==============================] - 10s 210us/step - loss: 0.6849 - val_loss: 0.6706
Epoch 2/50

   64/50000 [..............................] - ETA: 10s - loss: 0.6750
  384/50000 [..............................] - ETA: 9s - loss: 0.6718
  704/50000 [..............................] - ETA: 8s - loss: 0.6722
 1024/50000 [..............................] - ETA: 8s - loss: 0.6721
 1344/50000 [..............................] - ETA: 8s - loss: 0.6714
 1664/50000 [..............................] - ETA: 8s - loss: 0.6711
 1984/50000 [>.............................] - ETA: 8s - loss: 0.6709
 2304/50000 [>.............................] - ETA: 8s - loss: 0.6705
 2560/50000 [>.............................] - ETA: 8s - loss: 0.6707
 2880/50000 [>.............................] - ETA: 8s - loss: 0.6706
 3200/50000 [>.............................] - ETA: 8s - loss: 0.6706
 3520/50000 [=>............................] - ETA: 8s - loss: 0.6704
 3840/50000 [=>............................] - ETA: 8s - loss: 0.6703
 4160/50000 [=>............................] - ETA: 8s - loss: 0.6701
 4480/50000 [=>............................] - ETA: 8s - loss: 0.6699
 4800/50000 [=>............................] - ETA: 8s - loss: 0.6697
 5120/50000 [==>...........................] - ETA: 8s - loss: 0.6696
 5440/50000 [==>...........................] - ETA: 8s - loss: 0.6695
 5760/50000 [==>...........................] - ETA: 8s - loss: 0.6695
 6080/50000 [==>...........................] - ETA: 7s - loss: 0.6696
 6400/50000 [==>...........................] - ETA: 7s - loss: 0.6695
 6656/50000 [==>...........................] - ETA: 7s - loss: 0.6692
 6976/50000 [===>..........................] - ETA: 7s - loss: 0.6692
 7296/50000 [===>..........................] - ETA: 7s - loss: 0.6690
 7616/50000 [===>..........................] - ETA: 7s - loss: 0.6688
 7936/50000 [===>..........................] - ETA: 7s - loss: 0.6688
 8256/50000 [===>..........................] - ETA: 7s - loss: 0.6687
 8576/50000 [====>.........................] - ETA: 7s - loss: 0.6686
 8896/50000 [====>.........................] - ETA: 7s - loss: 0.6684
 9216/50000 [====>.........................] - ETA: 7s - loss: 0.6682
 9536/50000 [====>.........................] - ETA: 7s - loss: 0.6682
 9856/50000 [====>.........................] - ETA: 7s - loss: 0.6681
10176/50000 [=====>........................] - ETA: 7s - loss: 0.6681
10496/50000 [=====>........................] - ETA: 7s - loss: 0.6679
10816/50000 [=====>........................] - ETA: 7s - loss: 0.6678
11136/50000 [=====>........................] - ETA: 6s - loss: 0.6677
11456/50000 [=====>........................] - ETA: 6s - loss: 0.6676
11776/50000 [======>.......................] - ETA: 6s - loss: 0.6675
12096/50000 [======>.......................] - ETA: 6s - loss: 0.6674
12416/50000 [======>.......................] - ETA: 6s - loss: 0.6673
12736/50000 [======>.......................] - ETA: 6s - loss: 0.6673
13056/50000 [======>.......................] - ETA: 6s - loss: 0.6672
13376/50000 [=======>......................] - ETA: 6s - loss: 0.6671
13696/50000 [=======>......................] - ETA: 6s - loss: 0.6670
14016/50000 [=======>......................] - ETA: 6s - loss: 0.6669
14336/50000 [=======>......................] - ETA: 6s - loss: 0.6668
14656/50000 [=======>......................] - ETA: 6s - loss: 0.6668
14976/50000 [=======>......................] - ETA: 6s - loss: 0.6666
