Using TensorFlow backend.
2018-01-30 18:48:11.773928: I C:\tf_jenkins\home\workspace\rel-win\M\windows\PY\36\tensorflow\core\platform\cpu_feature_guard.cc:137] Your CPU supports instructions that this TensorFlow binary was not compiled to use: AVX
Reading TRAIN data...
Reading TEST data...
Train on 50000 samples, validate on 10000 samples
Epoch 1/50

 3328/50000 [>.............................] - ETA: 4s - loss: 0.2763
 3840/50000 [=>............................] - ETA: 4s - loss: 0.2763
 4608/50000 [=>............................] - ETA: 4s - loss: 0.2763
 5120/50000 [==>...........................] - ETA: 4s - loss: 0.2762
 5632/50000 [==>...........................] - ETA: 4s - loss: 0.2761
 6400/50000 [==>...........................] - ETA: 4s - loss: 0.2760
 7168/50000 [===>..........................] - ETA: 4s - loss: 0.2757
 8192/50000 [===>..........................] - ETA: 3s - loss: 0.2754
 9216/50000 [====>.........................] - ETA: 3s - loss: 0.2754
10240/50000 [=====>........................] - ETA: 3s - loss: 0.2754
11264/50000 [=====>........................] - ETA: 3s - loss: 0.2753
12544/50000 [======>.......................] - ETA: 2s - loss: 0.2754
13824/50000 [=======>......................] - ETA: 2s - loss: 0.2749
15104/50000 [========>.....................] - ETA: 2s - loss: 0.2748
16128/50000 [========>.....................] - ETA: 2s - loss: 0.2747
17408/50000 [=========>....................] - ETA: 2s - loss: 0.2745
18688/50000 [==========>...................] - ETA: 2s - loss: 0.2744
19968/50000 [==========>...................] - ETA: 2s - loss: 0.2741
21248/50000 [===========>..................] - ETA: 1s - loss: 0.2740
22528/50000 [============>.................] - ETA: 1s - loss: 0.2738
23808/50000 [=============>................] - ETA: 1s - loss: 0.2735
25088/50000 [==============>...............] - ETA: 1s - loss: 0.2732
26368/50000 [==============>...............] - ETA: 1s - loss: 0.2732
27648/50000 [===============>..............] - ETA: 1s - loss: 0.2730
28928/50000 [================>.............] - ETA: 1s - loss: 0.2728
30208/50000 [=================>............] - ETA: 1s - loss: 0.2727
31488/50000 [=================>............] - ETA: 1s - loss: 0.2725
32768/50000 [==================>...........] - ETA: 1s - loss: 0.2723
34048/50000 [===================>..........] - ETA: 0s - loss: 0.2721
35328/50000 [====================>.........] - ETA: 0s - loss: 0.2720
36608/50000 [====================>.........] - ETA: 0s - loss: 0.2717
37888/50000 [=====================>........] - ETA: 0s - loss: 0.2715
39168/50000 [======================>.......] - ETA: 0s - loss: 0.2714
40448/50000 [=======================>......] - ETA: 0s - loss: 0.2713
41728/50000 [========================>.....] - ETA: 0s - loss: 0.2712
43008/50000 [========================>.....] - ETA: 0s - loss: 0.2710
44288/50000 [=========================>....] - ETA: 0s - loss: 0.2708
45568/50000 [==========================>...] - ETA: 0s - loss: 0.2706
46848/50000 [===========================>..] - ETA: 0s - loss: 0.2704
48128/50000 [===========================>..] - ETA: 0s - loss: 0.2702
49408/50000 [============================>.] - ETA: 0s - loss: 0.2699
50000/50000 [==============================] - 3s 59us/step - loss: 0.2698 - val_loss: 0.2614
Epoch 3/50

  256/50000 [..............................] - ETA: 2s - loss: 0.2667
 1536/50000 [..............................] - ETA: 2s - loss: 0.2634
 2816/50000 [>.............................] - ETA: 2s - loss: 0.2614
 4096/50000 [=>............................] - ETA: 2s - loss: 0.2618
 5376/50000 [==>...........................] - ETA: 1s - loss: 0.2612
 6656/50000 [==>...........................] - ETA: 1s - loss: 0.2606
 7936/50000 [===>..........................] - ETA: 1s - loss: 0.2606
 9216/50000 [====>.........................] - ETA: 1s - loss: 0.2605
10496/50000 [=====>........................] - ETA: 1s - loss: 0.2603
11776/50000 [======>.......................] - ETA: 1s - loss: 0.2600
13056/50000 [======>.......................] - ETA: 1s - loss: 0.2595
14336/50000 [=======>......................] - ETA: 1s - loss: 0.2594
15616/50000 [========>.....................] - ETA: 1s - loss: 0.2594
16896/50000 [=========>....................] - ETA: 1s - loss: 0.2592
18176/50000 [=========>....................] - ETA: 1s - loss: 0.2589
19456/50000 [==========>...................] - ETA: 1s - loss: 0.2586
20736/50000 [===========>..................] - ETA: 1s - loss: 0.2586
22016/50000 [============>.................] - ETA: 1s - loss: 0.2583
23296/50000 [============>.................] - ETA: 1s - loss: 0.2581
24576/50000 [=============>................] - ETA: 1s - loss: 0.2579
25856/50000 [==============>...............] - ETA: 1s - loss: 0.2577
27136/50000 [===============>..............] - ETA: 1s - loss: 0.2574
28416/50000 [================>.............] - ETA: 0s - loss: 0.2572
29696/50000 [================>.............] - ETA: 0s - loss: 0.2569
30976/50000 [=================>............] - ETA: 0s - loss: 0.2565
32256/50000 [==================>...........] - ETA: 0s - loss: 0.2564
33536/50000 [===================>..........] - ETA: 0s - loss: 0.2562
34816/50000 [===================>..........] - ETA: 0s - loss: 0.2560
36096/50000 [====================>.........] - ETA: 0s - loss: 0.2558
37376/50000 [=====================>........] - ETA: 0s - loss: 0.2556
38656/50000 [======================>.......] - ETA: 0s - loss: 0.2554
39936/50000 [======================>.......] - ETA: 0s - loss: 0.2552
41216/50000 [=======================>......] - ETA: 0s - loss: 0.2550
42496/50000 [========================>.....] - ETA: 0s - loss: 0.2548
43776/50000 [=========================>....] - ETA: 0s - loss: 0.2545
45056/50000 [==========================>...] - ETA: 0s - loss: 0.2542
46336/50000 [==========================>...] - ETA: 0s - loss: 0.2541
47616/50000 [===========================>..] - ETA: 0s - loss: 0.2538
48896/50000 [============================>.] - ETA: 0s - loss: 0.2535
