Using TensorFlow backend.
2018-02-04 01:39:11.458747: I C:\tf_jenkins\home\workspace\rel-win\M\windows\PY\36\tensorflow\core\platform\cpu_feature_guard.cc:137] Your CPU supports instructions that this TensorFlow binary was not compiled to use: AVX
Train on 50000 samples, validate on 10000 samples
Epoch 1/50

31296/50000 [=================>............] - ETA: 3s - loss: 0.6895
31680/50000 [==================>...........] - ETA: 3s - loss: 0.6894
32000/50000 [==================>...........] - ETA: 3s - loss: 0.6893
32256/50000 [==================>...........] - ETA: 3s - loss: 0.6892
32576/50000 [==================>...........] - ETA: 3s - loss: 0.6891
32960/50000 [==================>...........] - ETA: 3s - loss: 0.6890
33344/50000 [===================>..........] - ETA: 3s - loss: 0.6889
33792/50000 [===================>..........] - ETA: 3s - loss: 0.6888
34240/50000 [===================>..........] - ETA: 2s - loss: 0.6887
34752/50000 [===================>..........] - ETA: 2s - loss: 0.6885
35264/50000 [====================>.........] - ETA: 2s - loss: 0.6884
35840/50000 [====================>.........] - ETA: 2s - loss: 0.6882
36416/50000 [====================>.........] - ETA: 2s - loss: 0.6880
36992/50000 [=====================>........] - ETA: 2s - loss: 0.6879
37568/50000 [=====================>........] - ETA: 2s - loss: 0.6877
38144/50000 [=====================>........] - ETA: 2s - loss: 0.6875
38720/50000 [======================>.......] - ETA: 1s - loss: 0.6874
39296/50000 [======================>.......] - ETA: 1s - loss: 0.6873
39872/50000 [======================>.......] - ETA: 1s - loss: 0.6871
40448/50000 [=======================>......] - ETA: 1s - loss: 0.6870
41024/50000 [=======================>......] - ETA: 1s - loss: 0.6868
41600/50000 [=======================>......] - ETA: 1s - loss: 0.6867
42176/50000 [========================>.....] - ETA: 1s - loss: 0.6865
42752/50000 [========================>.....] - ETA: 1s - loss: 0.6863
43328/50000 [========================>.....] - ETA: 1s - loss: 0.6862
43904/50000 [=========================>....] - ETA: 1s - loss: 0.6861
44480/50000 [=========================>....] - ETA: 0s - loss: 0.6859
45120/50000 [==========================>...] - ETA: 0s - loss: 0.6858
45696/50000 [==========================>...] - ETA: 0s - loss: 0.6856
46272/50000 [==========================>...] - ETA: 0s - loss: 0.6855
46848/50000 [===========================>..] - ETA: 0s - loss: 0.6854
