D:\Programs\Anaconda3\python.exe D:/Workspace/PycharmProjects/vae-master-thesis/VAEsInKeras/mnist.py
Using TensorFlow backend.

Train on 55000 samples, validate on 5000 samples

Epoch 1/50
  256/55000 [..............................] - ETA: 4:02 - loss: 0.6931OMP: Info #250: KMP_AFFINITY: pid 14412 tid 10644 thread 16 bound to OS proc set 0
40704/55000 [=====================>........] - ETA: 0s - loss: 0.2471
41984/55000 [=====================>........] - ETA: 0s - loss: 0.2420
43264/55000 [======================>.......] - ETA: 0s - loss: 0.2371
44544/55000 [=======================>......] - ETA: 0s - loss: 0.2324
45824/55000 [=======================>......] - ETA: 0s - loss: 0.2278
46336/55000 [========================>.....] - ETA: 0s - loss: 0.2260
47872/55000 [=========================>....] - ETA: 0s - loss: 0.2208
49152/55000 [=========================>....] - ETA: 0s - loss: 0.2166
50432/55000 [==========================>...] - ETA: 0s - loss: 0.2126
51968/55000 [===========================>..] - ETA: 0s - loss: 0.2080
52480/55000 [===========================>..] - ETA: 0s - loss: 0.2065
54016/55000 [============================>.] - ETA: 0s - loss: 0.2021
55000/55000 [==============================] - 3s 49us/step - loss: 0.1994 - val_loss: 0.0499
Epoch 3/50

  256/55000 [..............................] - ETA: 3s - loss: 0.0499
 1536/55000 [..............................] - ETA: 2s - loss: 0.0490
 3072/55000 [>.............................] - ETA: 2s - loss: 0.0480
 3840/55000 [=>............................] - ETA: 2s - loss: 0.0475
 5376/55000 [=>............................] - ETA: 2s - loss: 0.0465
 6656/55000 [==>...........................] - ETA: 2s - loss: 0.0458
 8192/55000 [===>..........................] - ETA: 2s - loss: 0.0449
 9472/55000 [====>.........................] - ETA: 2s - loss: 0.0442
11008/55000 [=====>........................] - ETA: 2s - loss: 0.0434
12544/55000 [=====>........................] - ETA: 1s - loss: 0.0427
13312/55000 [======>.......................] - ETA: 2s - loss: 0.0423
14848/55000 [=======>......................] - ETA: 1s - loss: 0.0416
16128/55000 [=======>......................] - ETA: 1s - loss: 0.0410
16896/55000 [========>.....................] - ETA: 1s - loss: 0.0407
18432/55000 [=========>....................] - ETA: 1s - loss: 0.0401
19456/55000 [=========>....................] - ETA: 1s - loss: 0.0397
20992/55000 [==========>...................] - ETA: 1s - loss: 0.0390
22528/55000 [===========>..................] - ETA: 1s - loss: 0.0385
23296/55000 [===========>..................] - ETA: 1s - loss: 0.0382
24832/55000 [============>.................] - ETA: 1s - loss: 0.0376
26112/55000 [=============>................] - ETA: 1s - loss: 0.0372
27648/55000 [==============>...............] - ETA: 1s - loss: 0.0367
29184/55000 [==============>...............] - ETA: 1s - loss: 0.0362
30208/55000 [===============>..............] - ETA: 1s - loss: 0.0359
31744/55000 [================>.............] - ETA: 1s - loss: 0.0354
33024/55000 [=================>............] - ETA: 1s - loss: 0.0350
34560/55000 [=================>............] - ETA: 0s - loss: 0.0346
35840/55000 [==================>...........] - ETA: 0s - loss: 0.0342
37120/55000 [===================>..........] - ETA: 0s - loss: 0.0339
38400/55000 [===================>..........] - ETA: 0s - loss: 0.0336
38912/55000 [====================>.........] - ETA: 0s - loss: 0.0334
40192/55000 [====================>.........] - ETA: 0s - loss: 0.0331
41216/55000 [=====================>........] - ETA: 0s - loss: 0.0329
42496/55000 [======================>.......] - ETA: 0s - loss: 0.0325
43776/55000 [======================>.......] - ETA: 0s - loss: 0.0322
44544/55000 [=======================>......] - ETA: 0s - loss: 0.0321
46080/55000 [========================>.....] - ETA: 0s - loss: 0.0317
47616/55000 [========================>.....] - ETA: 0s - loss: 0.0314
49152/55000 [=========================>....] - ETA: 0s - loss: 0.0311
50688/55000 [==========================>...] - ETA: 0s - loss: 0.0307
51456/55000 [===========================>..] - ETA: 0s - loss: 0.0306
52736/55000 [===========================>..] - ETA: 0s - loss: 0.0303
53504/55000 [============================>.] - ETA: 0s - loss: 0.0302
55000/55000 [==============================] - 3s 51us/step - loss: 0.0299 - val_loss: 0.0195
Epoch 4/50

  256/55000 [..............................] - ETA: 2s - loss: 0.0197
 1536/55000 [..............................] - ETA: 2s - loss: 0.0194
 2816/55000 [>.............................] - ETA: 2s - loss: 0.0192
 3584/55000 [>.............................] - ETA: 2s - loss: 0.0192
 4864/55000 [=>............................] - ETA: 2s - loss: 0.0190
 5888/55000 [==>...........................] - ETA: 2s - loss: 0.0189
 7424/55000 [===>..........................] - ETA: 2s - loss: 0.0188
 8960/55000 [===>..........................] - ETA: 2s - loss: 0.0187
 9984/55000 [====>.........................] - ETA: 2s - loss: 0.0186
11264/55000 [=====>........................] - ETA: 2s - loss: 0.0185
12544/55000 [=====>........................] - ETA: 2s - loss: 0.0184
13312/55000 [======>.......................] - ETA: 2s - loss: 0.0184
14848/55000 [=======>......................] - ETA: 1s - loss: 0.0182
16128/55000 [=======>......................] - ETA: 1s - loss: 0.0181
16896/55000 [========>.....................] - ETA: 1s - loss: 0.0181
18432/55000 [=========>....................] - ETA: 1s - loss: 0.0180
19200/55000 [=========>....................] - ETA: 1s - loss: 0.0179
20480/55000 [==========>...................] - ETA: 1s - loss: 0.0178
21760/55000 [==========>...................] - ETA: 1s - loss: 0.0177
23040/55000 [===========>..................] - ETA: 1s - loss: 0.0176
24576/55000 [============>.................] - ETA: 1s - loss: 0.0175
26112/55000 [=============>................] - ETA: 1s - loss: 0.0174
27648/55000 [==============>...............] - ETA: 1s - loss: 0.0173
28672/55000 [==============>...............] - ETA: 1s - loss: 0.0173
30208/55000 [===============>..............] - ETA: 1s - loss: 0.0172
31488/55000 [================>.............] - ETA: 1s - loss: 0.0171
32512/55000 [================>.............] - ETA: 1s - loss: 0.0170
34048/55000 [=================>............] - ETA: 0s - loss: 0.0170
35072/55000 [==================>...........] - ETA: 0s - loss: 0.0169
36608/55000 [==================>...........] - ETA: 0s - loss: 0.0168
37376/55000 [===================>..........] - ETA: 0s - loss: 0.0168
38912/55000 [====================>.........] - ETA: 0s - loss: 0.0167
40192/55000 [====================>.........] - ETA: 0s - loss: 0.0166
41472/55000 [=====================>........] - ETA: 0s - loss: 0.0165
42496/55000 [======================>.......] - ETA: 0s - loss: 0.0165
43776/55000 [======================>.......] - ETA: 0s - loss: 0.0164
45312/55000 [=======================>......] - ETA: 0s - loss: 0.0163
46848/55000 [========================>.....] - ETA: 0s - loss: 0.0163
48128/55000 [=========================>....] - ETA: 0s - loss: 0.0162
49664/55000 [==========================>...] - ETA: 0s - loss: 0.0161
51200/55000 [==========================>...] - ETA: 0s - loss: 0.0161
51968/55000 [===========================>..] - ETA: 0s - loss: 0.0160
53504/55000 [============================>.] - ETA: 0s - loss: 0.0159
55000/55000 [==============================] - 3s 52us/step - loss: 0.0159 - val_loss: 0.0134
Epoch 5/50

  256/55000 [..............................] - ETA: 2s - loss: 0.0133
 1536/55000 [..............................] - ETA: 2s - loss: 0.0132
 3072/55000 [>.............................] - ETA: 2s - loss: 0.0132
 3840/55000 [=>............................] - ETA: 2s - loss: 0.0132
 5120/55000 [=>............................] - ETA: 2s - loss: 0.0132
 6400/55000 [==>...........................] - ETA: 2s - loss: 0.0132
 7680/55000 [===>..........................] - ETA: 2s - loss: 0.0131
 9216/55000 [====>.........................] - ETA: 2s - loss: 0.0131
10496/55000 [====>.........................] - ETA: 2s - loss: 0.0131
12032/55000 [=====>........................] - ETA: 1s - loss: 0.0130
13312/55000 [======>.......................] - ETA: 1s - loss: 0.0130
13824/55000 [======>.......................] - ETA: 1s - loss: 0.0130
15360/55000 [=======>......................] - ETA: 1s - loss: 0.0130
16640/55000 [========>.....................] - ETA: 1s - loss: 0.0129
18176/55000 [========>.....................] - ETA: 1s - loss: 0.0129
19712/55000 [=========>....................] - ETA: 1s - loss: 0.0128
21248/55000 [==========>...................] - ETA: 1s - loss: 0.0128
22528/55000 [===========>..................] - ETA: 1s - loss: 0.0128
24064/55000 [============>.................] - ETA: 1s - loss: 0.0127
25088/55000 [============>.................] - ETA: 1s - loss: 0.0127
26624/55000 [=============>................] - ETA: 1s - loss: 0.0127
27648/55000 [==============>...............] - ETA: 1s - loss: 0.0127
28416/55000 [==============>...............] - ETA: 1s - loss: 0.0127
29952/55000 [===============>..............] - ETA: 1s - loss: 0.0126
31232/55000 [================>.............] - ETA: 1s - loss: 0.0126
32768/55000 [================>.............] - ETA: 1s - loss: 0.0126
34304/55000 [=================>............] - ETA: 0s - loss: 0.0125
35072/55000 [==================>...........] - ETA: 0s - loss: 0.0125
36608/55000 [==================>...........] - ETA: 0s - loss: 0.0125
37632/55000 [===================>..........] - ETA: 0s - loss: 0.0125
38912/55000 [====================>.........] - ETA: 0s - loss: 0.0124
40448/55000 [=====================>........] - ETA: 0s - loss: 0.0124
41984/55000 [=====================>........] - ETA: 0s - loss: 0.0124
43264/55000 [======================>.......] - ETA: 0s - loss: 0.0124
44032/55000 [=======================>......] - ETA: 0s - loss: 0.0123
45568/55000 [=======================>......] - ETA: 0s - loss: 0.0123
47104/55000 [========================>.....] - ETA: 0s - loss: 0.0123
48640/55000 [=========================>....] - ETA: 0s - loss: 0.0123
49664/55000 [==========================>...] - ETA: 0s - loss: 0.0122
50688/55000 [==========================>...] - ETA: 0s - loss: 0.0122
51712/55000 [===========================>..] - ETA: 0s - loss: 0.0122
52224/55000 [===========================>..] - ETA: 0s - loss: 0.0122
53760/55000 [============================>.] - ETA: 0s - loss: 0.0122
54528/55000 [============================>.] - ETA: 0s - loss: 0.0122
55000/55000 [==============================] - 3s 49us/step - loss: 0.0121 - val_loss: 0.0112
Epoch 6/50

  256/55000 [..............................] - ETA: 3s - loss: 0.0112
 1792/55000 [..............................] - ETA: 2s - loss: 0.0112
 3328/55000 [>.............................] - ETA: 2s - loss: 0.0112
 3840/55000 [=>............................] - ETA: 2s - loss: 0.0112
 5376/55000 [=>............................] - ETA: 2s - loss: 0.0112
 6912/55000 [==>...........................] - ETA: 2s - loss: 0.0111
 8192/55000 [===>..........................] - ETA: 2s - loss: 0.0111
